Classifier,Accuracy for original mammograms,Accuracy histeq,Accuracy laplacjan,Accuracy localcontrast,Accuracy reduce,Accuracy clip2,Accuracy clip5,Accuracy clip10
DummyClassifier,63.97515527950311,63.97515527950311,63.97515527950311,63.97515527950311,63.97515527950311,63.97515527950311,63.97515527950311,63.975155279503106
kNN,59.62732919254658,57.14285714285714,58.38509316770186,59.62732919254658,59.00621118012423,57.7639751552795,57.14285714285714,55.27950310559007
RandomForest,62.11180124223602,63.35403726708074,60.86956521739131,62.11180124223602,63.35403726708074,62.11180124223602,63.35403726708074,58.38509316770186
XGB,57.7639751552795,62.11180124223602,60.24844720496895,60.24844720496895,54.6583850931677,63.35403726708074,62.732919254658384,60.24844720496895
TPOT,63.97515527950311,46.58385093167702,63.97515527950311,61.49068322981367,63.97515527950311,62.11180124223602,63.97515527950311,63.975155279503106
