Classifier,Accuracy for original mammograms,hog_original,Accuracy hog_1,Accuracy hog_2,Accuracy hog_3,Accuracy hog_4,Accuracy hog_5,Accuracy hog_6,Accuracy hog_7,Accuracy hog_8,Accuracy hog_9,Accuracy hog_10,Accuracy hog_11
DummyClassifier,55.907780979827095,55.91,55.91,55.91,55.91,55.91,55.91,55.91,55.91,55.91,55.91,55.91,55.91
kNN,58.501440922190206,52.74,55.33,60.52,54.76,36.31,47.26,53.6,54.76,54.76,54.18,51.01,48.7
RandomForest,62.2478386167147,56.2,56.2,68.01,57.06,55.33,56.48,56.2,55.91,56.2,57.06,55.91,56.77
XGB,63.40057636887608,55.62,55.91,64.84,55.04,56.2,53.31,55.91,53.6,53.6,55.62,56.48,54.76
TPOT,57.34870317002881,59.94,58.21,55.04,55.91,58.21,56.77,nic,nic,nic,nic,nic,nic
