Classifier,Accuracy for original mammograms,Accuracy histeq,Accuracy laplacjan,Accuracy localcontrast,Accuracy reduce,Accuracy clip2,Accuracy clip5,Accuracy clip10
DummyClassifier,63.97515527950311,63.97515527950311,63.97515527950311,63.97515527950311,63.97515527950311,63.97515527950311,63.97515527950311,63.975155279503106
kNN,60.24844720496895,58.38509316770186,60.24844720496895,58.38509316770186,58.38509316770186,58.38509316770186,58.38509316770186,56.52173913043478
RandomForest,62.11180124223602,62.11180124223602,61.49068322981367,62.11180124223602,62.11180124223602,62.732919254658384,61.49068322981367,62.11180124223602
XGB,59.00621118012423,61.49068322981367,62.732919254658384,56.52173913043478,59.00621118012423,58.38509316770186,57.7639751552795,60.86956521739131
TPOT,60.24844720496895,63.97515527950311,63.97515527950311,63.97515527950311,63.97515527950311,60.86956521739131,62.732919254658384,63.35403726708074
